model,condition,n,n_tasks,tasks,TSR,n_matched_baseline,TSR_matched_baseline,delta_pp_matched,bits_removed
smolvla,original,200,10,0 1 2 3 4 5 6 7 8 9,0.7850,200,0.7850,0.00,0.00
smolvla,blank,200,10,0 1 2 3 4 5 6 7 8 9,0.0000,200,0.7850,78.50,3.32
openvla,original,80,10,0 1 2 3 4 5 6 7 8 9,0.6625,80,0.6625,0.00,0.00
openvla,blank,80,10,0 1 2 3 4 5 6 7 8 9,0.0000,80,0.6625,66.25,3.32
openvla,verb_dropped,60,6,0 1 2 3 4 5,0.8167,60,0.6500,-16.67,0.00
openvla,nouns_masked,60,6,0 1 2 3 4 5,0.0833,60,0.6500,56.67,3.32
openvla_oft,original,200,10,0 1 2 3 4 5 6 7 8 9,0.9750,200,0.9750,0.00,0.00
openvla_oft,blank,192,10,0 1 2 3 4 5 6 7 8 9,0.1302,192,0.9792,84.90,3.32
openvla_oft,verb_dropped,180,10,0 1 2 3 4 5 6 7 8 9,0.9556,180,0.9778,2.22,0.00
openvla_oft,nouns_masked,180,10,0 1 2 3 4 5 6 7 8 9,0.2333,180,0.9778,74.44,3.32
